Day +1,Day +2,Day +3,Day +4,Day +5
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.62
0.62,0.61,0.61,0.62,0.61
0.61,0.61,0.62,0.61,0.61
0.61,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.63
0.62,0.62,0.62,0.63,0.63
0.62,0.62,0.63,0.63,0.62
0.62,0.63,0.63,0.62,0.63
0.63,0.63,0.62,0.63,0.63
0.63,0.62,0.63,0.63,0.63
0.62,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.62
0.63,0.63,0.63,0.62,0.62
0.63,0.63,0.62,0.62,0.62
0.63,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.62
0.62,0.62,0.61,0.62,0.62
0.62,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.62
0.62,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.61
0.61,0.61,0.62,0.61,0.61
0.61,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.6
0.61,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.59
0.6,0.6,0.59,0.59,0.59
0.6,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.6
0.59,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.6
0.59,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.61
0.6,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.62
0.6,0.61,0.61,0.62,0.61
0.61,0.61,0.62,0.61,0.61
0.61,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.63
0.61,0.62,0.62,0.63,0.63
0.62,0.62,0.63,0.63,0.63
0.62,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.62
0.63,0.63,0.63,0.62,0.62
0.63,0.63,0.62,0.62,0.62
0.63,0.62,0.62,0.62,0.63
0.62,0.62,0.62,0.63,0.63
0.62,0.62,0.63,0.63,0.62
0.62,0.63,0.63,0.62,0.62
0.63,0.63,0.62,0.62,0.62
0.63,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.63
0.62,0.62,0.62,0.63,0.63
0.62,0.62,0.63,0.63,0.63
0.62,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.62
0.63,0.63,0.63,0.62,0.62
0.63,0.63,0.62,0.62,0.63
0.63,0.62,0.62,0.63,0.63
0.62,0.62,0.63,0.63,0.62
0.62,0.63,0.63,0.62,0.62
0.63,0.63,0.62,0.62,0.62
0.63,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.62
0.62,0.62,0.61,0.62,0.62
0.62,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.6
0.61,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.6
0.6,0.6,0.59,0.6,0.59
0.6,0.59,0.6,0.59,0.59
0.59,0.6,0.59,0.59,0.59
0.6,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.6
0.59,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.59
0.59,0.6,0.6,0.59,0.59
0.6,0.6,0.59,0.59,0.59
0.6,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.6
0.59,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.61
0.59,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.61
0.6,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.61
0.61,0.61,0.6,0.61,0.61
0.61,0.6,0.61,0.61,0.61
0.6,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.6
0.61,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.61
0.6,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.61
0.6,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.61
0.61,0.61,0.6,0.61,0.61
0.61,0.6,0.61,0.61,0.61
0.6,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.61
0.61,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.62
0.6,0.61,0.61,0.62,0.61
0.61,0.61,0.62,0.61,0.61
0.61,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.6
0.61,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.59
0.6,0.6,0.59,0.59,0.6
0.6,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.6
0.59,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.59
0.6,0.6,0.59,0.59,0.59
0.6,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.6
0.59,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.6
0.59,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.61
0.6,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.61
0.6,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.61
0.61,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.6
0.61,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.61
0.6,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.61
0.6,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.61
0.61,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.61
0.6,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.61
0.61,0.61,0.62,0.61,0.61
0.61,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.62
0.61,0.61,0.61,0.62,0.62
0.61,0.61,0.62,0.62,0.62
0.61,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.61
0.62,0.62,0.62,0.61,0.61
0.62,0.62,0.61,0.61,0.61
0.62,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61,0.6
0.61,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.6
0.61,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.59
0.6,0.6,0.59,0.59,0.6
0.6,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.6
0.59,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.59
0.6,0.6,0.59,0.59,0.59
0.6,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.6
0.59,0.59,0.59,0.6,0.59
0.59,0.59,0.6,0.59,0.59
0.59,0.6,0.59,0.59,0.59
0.6,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.58
0.59,0.59,0.59,0.58,0.59
0.59,0.59,0.58,0.59,0.59
0.59,0.58,0.59,0.59,0.59
0.58,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,0.6
0.59,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.6
0.59,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.61
0.6,0.6,0.6,0.61,0.61
0.6,0.6,0.61,0.61,0.6
0.6,0.61,0.61,0.6,0.6
0.61,0.61,0.6,0.6,0.6
0.61,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.59
0.6,0.6,0.59,0.59,0.59
0.6,0.59,0.59,0.59,0.6
0.59,0.59,0.59,0.6,0.6
0.59,0.59,0.6,0.6,0.6
0.59,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.59
0.6,0.6,0.6,0.59,0.6
